xmzt,name,xzqy,wylx,xsjg,kpsj,zdmj,hs,wygs,xxxq,zxqq,qjl,tcw,cgsj,dls,dtpp,kfqy,jzsjdw,ssbk,jzlb,zlhx,jlsj,jzmj,lds,wyglf,zxxq,cqyxq,lul,cwpb,jgsj,wlmyl,thpb,kfszz,ylsjdw,ylfg,lczc,lcts,xmdz,xmjj,href,qy
在,金裕星河丹堤,小金口街道,普通住宅 别墅 商铺,12000元/㎡,2020-11-07,总83万㎡、三期8.6万㎡,总9965户、三期1424户,星河智善生活,,毛坯,1.92,127971个,2018,中原，合富,通力电梯,星河控股集团、金裕集团,,北站新城,塔楼 板楼 小高层 高层 叠拼别墅,三期建面约94/106/126㎡,暂无数据,总176万㎡、三期22万㎡,三期15栋,住宅2元/㎡·月,,,30%,1:1.28,,,高层2梯4户/洋房1梯2户,粤(惠)房开证字第0030017号,二期：ACLA LIMITED 傲林国际公司,现代园林风格,高层34层   洋房8层,品牌房企 教育社区 轨道物业 豪华社区 宜居生态,惠州市惠城区惠州大道（小金口高速出口往西3公里）,金裕星河丹堤是由全国百强企业星河集团与惠州豪宅专家金裕集团强强联手打造的百万级学府大盘。项目位于惠城大江北北站新城片区的重要位置，总建面约180万㎡，目前北站片区规模最大社区。全新三期，占地约8.6万㎡，建面约22万㎡，总户数1424户，容积率仅仅1.92，乃片区稀缺的低密度高品质社区，由7栋高层和8栋洋房组成，高层呈围合式布局设计、洋房呈半围合式设计，产品均户户朝南采光通风绝佳。,http://newhouse.fz0752.com/project/detail.shtml?num=W10018,46
xmzt,name,xzqy,wylx,xsjg,kpsj,zdmj,hs,wygs,xxxq,zxqq,qjl,tcw,cgsj,dls,dtpp,kfqy,jzsjdw,ssbk,jzlb,zlhx,jlsj,jzmj,lds,wyglf,zxxq,cqyxq,lul,cwpb,jgsj,wlmyl,thpb,kfszz,ylsjdw,ylfg,lczc,lcts,xmdz,xmjj,href,qy
在,海伦堡玖悦府,龙丰街道,普通住宅 商铺,14686元/㎡,2021-04,47566㎡,1352户,海伦堡物业管理有限公司,上排小学,带装修,3.18,1488个,,世联行,,大锋华微线科技有限公司,广东远顺建筑设计有限公司,老城区,高层,建面约95-152m²,暂无数据,205327.9㎡,12栋,2.5元/㎡·月,第五中学,70年（2019年算起）,35%,1:1.1,,,2-10栋两梯五户、11-12栋两梯三户,,广州域道园林景观设计有限公司,,1栋11层，2栋-6栋26层，7栋22层，8栋-11栋26层，12栋25层,品牌房企 教育社区 轨道物业 豪华社区 宜居生态,广东省惠州市惠城区鹅岭南路七巷二号,海伦堡玖悦府是海伦堡在惠州第一个明星系豪宅产品，项目占地面积4.7万㎡，总建筑面积20万㎡，由12栋高层组成。,http://newhouse.fz0752.com/project/detail.shtml?num=20200249,46
xmzt,name,xzqy,wylx,xsjg,kpsj,zdmj,hs,wygs,xxxq,zxqq,qjl,tcw,cgsj,dls,dtpp,kfqy,jzsjdw,ssbk,jzlb,zlhx,jlsj,jzmj,lds,wyglf,zxxq,cqyxq,lul,cwpb,jgsj,wlmyl,thpb,kfszz,ylsjdw,ylfg,lczc,lcts,xmdz,xmjj,href,qy
在,金悦华府,桥东街道,普通住宅,13495元/㎡,2021-04,9.1万㎡,总2547户,金融街物业,自带公立小学，36班制，已封顶，与一期同期交付,毛坯,3.5,3185个,,世联行房地产咨询（惠州）有限公司,迅达,惠州融拓置业有限公司,深圳市森磊镒铭设计顾问有限公司,金山新城,塔楼 高层,建面92/93/117/128㎡3-4房,2021-12,43万㎡,19栋,2.5元/㎡·月,,70年,30%,1：1.25,,,Y形楼二梯四户，楼王二梯三户,粤（惠）房开证字第5000478号,SED新西林景观国际(SED LANDSCAPE ARCHITECTS LTD.),,暂无数据,品牌房企 教育社区 江景洋房 品质居所,惠城金山湖畔(三环路与惠州大道交汇处),"金悦华府位于金山湖畔、江东核心枢纽地带，是未来城市发展的主轴区域。毗邻惠州大道及三环东路双城市主干道，未来规划双地铁站，10分钟通达全城；项目直享金山新天地配套，周边规划的教育、生活配套齐全，同时享有强势江景资源。实力国企，双品牌强强联手,打造系统教育品质大盘，定义惠州高端住宅领衔标杆",http://newhouse.fz0752.com/project/detail.shtml?num=20190043,46
xmzt,name,xzqy,wylx,xsjg,kpsj,zdmj,hs,wygs,xxxq,zxqq,qjl,tcw,cgsj,dls,dtpp,kfqy,jzsjdw,ssbk,jzlb,zlhx,jlsj,jzmj,lds,wyglf,zxxq,cqyxq,lul,cwpb,jgsj,wlmyl,thpb,kfszz,ylsjdw,ylfg,lczc,lcts,xmdz,xmjj,href,qy
在,万科中交金枫花园（万科中交金域华府）,马安镇,普通住宅,14650元/㎡,2021-03-23,约11万㎡,3137户,万科物业,自建学校,带装修,3.1,3459个,,世联、中原,上海三菱,惠州慧通置业有限公司,,金山新城,塔楼 高层,建面77/95/120/140㎡3-4房,2022-01,约46万㎡,22栋,2.7元/㎡·月,自建学校,70年,35%,1：1.1,,,2梯4户、2梯5户,粤（惠）房开证字第5000508号,,,暂无数据,品牌房企 教育社区 中小户型 公园地产,惠州市惠城区金山湖东惠州大道与群寮路交汇处,万科中交金枫花园（万科中交金域华府），由万科集团&中交集团联袂打造，总占地约11万㎡，总建面约46万㎡，由22栋高层住宅组成，共计3137户；社区内，拥享超万㎡的风情商业街，规划4万㎡教育用地，自配一所12班制公立幼儿园和42班制公立学校（24班小学及18班初中）。,http://newhouse.fz0752.com/project/detail.shtml?num=20200033,46
xmzt,name,xzqy,wylx,xsjg,kpsj,zdmj,hs,wygs,xxxq,zxqq,qjl,tcw,cgsj,dls,dtpp,kfqy,jzsjdw,ssbk,jzlb,zlhx,jlsj,jzmj,lds,wyglf,zxxq,cqyxq,lul,cwpb,jgsj,wlmyl,thpb,kfszz,ylsjdw,ylfg,lczc,lcts,xmdz,xmjj,href,qy
在,华发·旭辉铂钻四季,马安镇,普通住宅 商铺,待定元/㎡,2021-04,11.9万㎡,3276户,旭辉永升服务,,毛坯,3.1,3695个,,,,惠州和汇置业有限公司,,金山新城,板楼 高层,建面约96-136㎡三至四房,暂无数据,49万㎡,22栋,2.8元/㎡·月,,住宅截至2090年3月8日,35%,暂无数据,,,,粤（惠）房开证字第5000501号,,,暂无数据,品牌房企 改善产品 教育社区 宜居生态 品质居所,惠州·金山湖东·惠州大道与新乐路交汇处,华发·旭辉铂钻四季是由旭辉·华发首个携手打造的惠州钻级品质生活场，项目所处区域正是惠州政府近年重点规划的热点区域--金山新城。项目总占地11.9万㎡，总建面49万㎡，项目北面紧邻惠州城市命脉惠州大道，南面毗邻西枝江，西面紧邻政府规划商业中心以及规划中4万㎡绿地公园。取钻石恒久浪漫之意设计打造业主的第二会客室，屋顶中间用钻石切割面打造成主钻造型，围绕着它的为粉黛乱子草，营造粉色网红打卡点。除此之外，项目打造一个约1400㎡森林主题茑屋儿童乐园。项目外立面大胆采用了现代典雅的建筑风格，像上海的汤臣一品、中粮海景壹号采用的都是这种风格，用更有质感和肌理的材料，搭配大量的玻璃材质，提升项目气质。利用全板式高层住宅形成半围合规划布局，形成超大空间花园；每户均有良好日照及景观视线。还有更贴心的绿色空间配置，绿色阳光车库、主题架空层、健康跑道、多功能运动场所，让业主住的健康、舒心的同时提升幸福感。,http://newhouse.fz0752.com/project/detail.shtml?num=20200237,46
