排行,书名,作者,类型,简介,最新章节,书的地址链接,图片链接
1,临渊行,宅猪,玄幻,苏云怎么也没有想到，自己生活了十几年的天门镇，只有自己是人。他更没有想到天门镇外，方圆百里，是鼎鼎有名的无人区。少年睁开眼睛时，想象中的世界崩塌了，妖魔鬼怪横行的现实呈现在他的面前。临渊行。黑夜中临深渊而行，须得打起精神，如履薄冰！书友群群号，978862507（已满）书友二群，713432268；订阅群，1037358191（有验证）,最新更新 第五百四十二章 失宠了,https://bookcover.yuewen.com/qdbimg/349573/1017125042/150,https://book.qidian.com/info/1017125042
2,万族之劫,老鹰吃小鸡,都市,我是这诸天万族的劫！《全球高武》和《万族之劫》前五册实体书出版了，天猫、当当、京东都有售，喜欢的可以去看看，谢谢大家支持！,最新更新  第588章 杀无敌，镇诸天！（万更求月票）,https://bookcover.yuewen.com/qdbimg/349573/1018027842/150,https://book.qidian.com/info/1018027842
3,大奉打更人,卖报小郎君,仙侠,这个世界，有儒；有道；有佛；有妖；有术士。警校毕业的许七安幽幽醒来，发现自己身处牢狱之中，三日后流放边陲.....他起初的目的只是自保，顺便在这个没有人权的社会里当个富家翁悠闲度日。......多年后，许七安回首前尘，身后是早已逝去的敌人，以及累累白骨。滚滚长江东逝水，浪花淘尽英雄，是非成败转头空。青山依旧在，几度夕阳红。PS：本书不悲剧！,最新更新 第一百四十七章 回京,https://bookcover.yuewen.com/qdbimg/349573/1019664125/150,https://book.qidian.com/info/1019664125
4,我师兄实在太稳健了,言归正传,仙侠,重生在封神大战之前的上古时代，李长寿成了一个小小的炼气士，没有什么气运加身，也不是什么注定的大劫之子，他只有一个想要长生不老的修仙梦。为了能在残酷的洪荒安身立命，他努力不沾因果，杀人必扬其灰，凡事谋而后动，从不轻易步入危险之中。藏底牌，修遁术，炼丹毒，掌神通，不动稳如老狗，一动石破天惊，动后悄声走人。本来李长寿规划中，自己会一直躲在山中平安无事的修行成仙，直到有一年，他的老师父静极思动，又给他……收了个师妹回来……【PS：暂时不开新群，五群（1098711961）壹群（474095492）贰群（836797636）叁群（398929196）肆群（1071059242）贯彻到底，轻松修仙！】,最新更新 免费单章·现有情报归纳,https://bookcover.yuewen.com/qdbimg/349573/1016572786/150,https://book.qidian.com/info/1016572786
5,突然成仙了怎么办,欢颜笑语,都市,（高定过万作品，非无敌轻松逗逼文，每天爆更，请放心观看。）这天，林凡与圣女同时穿越，之后更是发现，他们可以无限互穿。随后，两人在不同时空，杠上了。直到某日，林凡穿越归来，却发现自己已经成仙！突然成仙了怎么办？在线等，挺急的。（群号:1005499845，静待朋友们加入）,最新更新 第475章 这是钞能力,https://bookcover.yuewen.com/qdbimg/349573/1021226784/150,https://book.qidian.com/info/1021226784
6,大道纪,裴屠狗,科幻,万千宇宙天骄并起，无穷次元霸主同存。武侠世界，有道人铸剑王权，威临天下一甲子，名传后世三千年，无双无对，古今第一，无上大宗师。神鬼世界，百鬼日行，道人驻世不死，一问鬼神，二问苍天，以地伐天，封神天下，万神之宗长。万阳世界，神魔咆哮天地，大妖宰执星河，一世称尊，灿若骄阳，古今亿万载，万阳同天，有道人登临绝巅，人若长河，横压万阳之上。皇天界，蛮荒大界，巫神大界，元阳界，大龙界........战魔尊，斗皇天，平动乱，撼神庭，定蛮荒，试手巫神，对弈天帝......踏过诸天，行罢万界，安奇生蓦然发现，万道万神，已在掌心三寸之间。已有480万字完本精品小说《诸天投影》，人品保证。诸天大道宗普群1031416893。诸天大道宗全订群724433161，欢迎加群。,最新更新 第718章 顺逆由心亦由我！,https://bookcover.yuewen.com/qdbimg/349573/1016861609/150,https://book.qidian.com/info/1016861609
7,东晋北府一丘八,指云笑天道1,历史,历史的车轮滚过波澜壮阔的三国时代，中原大地迎来了百年未遇的和平，人们都以为盛世即将来临，可谁都没想到，等来的却是一场汉人永远也不愿面对的千年恶梦。永嘉丧乱，中原大地，虎狼横行!华夏的儿女，在血泊中哀号。不甘为奴的汉人举族南下，在江东之地重建东晋，自祖逖起，百年来汉家军队六出江南，九伐中原，可惜功亏一篑，多少志士，徒望两京兴叹，巍巍青山，何处不埋忠骨？所幸天不亡汉族，还有刘寄奴，他会用一腔的热血，吼出这个时代的最强音：汉胡不两立，王业不偏安！欢迎随本书走进那段金戈铁马，气吞万里的年代。作者书友群933794235,最新更新 第二千三百三十七章 向前一步无退路,https://bookcover.yuewen.com/qdbimg/349573/1010056141/150,https://book.qidian.com/info/1010056141
8,我真没想重生啊,柳岸花又明,都市,万万没想到，社会精英、钻石单身汉的陈汉升居然重生了，一觉醒来变成了高三毕业生。十字路口的陈汉升也在犹豫，宝藏女孩沈幼楚和白月光萧容鱼，应该选择谁？已有精品作品《大时代1994》，验证群964657392（粉丝值500以上进群）。,最新更新 848、锁门和锁心（求月票）,https://bookcover.yuewen.com/qdbimg/349573/1015648531/150,https://book.qidian.com/info/1015648531
9,我真的不是气运之子,云中殿,轻小说,清月仙子：我曾与师兄西行三千里，在昆仑秘境得日月金轮！玲珑帝姬：我曾陪师兄深入北海帝葬谷，一起接受丹帝传承！不死凰后：呵呵，一群雏儿！知道他的龙凰不灭体怎么来的吗？……穿越修仙界，沈天发现自己可以看到身边其他人的气运和机缘。抱着蹭大佬主角光环的想法，沈天开始主动结交那些气运之子。……后来大家渐渐发现：无论是谁，只要跟沈天一起历练，就必然会遇到大机缘，从无例外！从那天起，沈天成了修仙界最受欢迎的吉祥物。PS：本书又名《非酋的进化论》《韭菜的100种收割方式》《好师兄，带带我》《师兄机缘，怎可分我这么多！》粉丝群号：534175450，无条件加入。vip粉丝群：287592904，要求：粉丝值500以上。,最新更新 第332章 龙皇圣体，金身八转,https://bookcover.yuewen.com/qdbimg/349573/1019593678/150,https://book.qidian.com/info/1019593678
10,轮回乐园,那一只蚊子,轻小说,苏晓签订轮回契约，进入各个世界执行任务。他曾目睹一个世界崩灭为尘粒，也曾与被遗忘的王者持刃而战。暗鸦在低语，黑渊下巨兽咆哮。欢迎来到，轮回乐园……---------------本书动漫无限流，作者节操满满，请放心入坑。读者群：534789565二群：631919682三群：485381921VIP群：204920420（需粉丝值截图验证）,最新更新 第二十一章：隔着‘网线’钓鱼,https://bookcover.yuewen.com/qdbimg/349573/1009817672/150,https://book.qidian.com/info/1009817672
